Filial,Documento,Nome_Cliente,Nome_Vendedor,Produtos,Quantidade,Preco_Unitario,Total,Estado_Cliente,Data_Compra,Data_Devolucao,Status
São Paulo,1790,Laboratórios InovateX Ltda,Taize,Nintendo DS,37,389,14393, Alagoas (AL) ,2021-12-31,,Sem Devolução
Rio de Janeiro,5498,Tecnologias Ondas Futuras Ltda,Vanessa,PlayStation 4,32,1399,44768, Sergipe (SE) ,2023-04-22,,Sem Devolução
Parana,3337,Empresas Esfera de Sinergia Ltda,Paulo,Nintendo Wii,21,1699,35679, Rondônia (RO) ,2020-01-13,,Sem Devolução
Rio de Janeiro,9510,Corporação TechVantage,Henrique,XBOX ONE S,34,1499,50966, Rondônia (RO) ,2024-12-05,,Sem Devolução
Rio de Janeiro,7557,Indústrias ApexTech Ltda,Taize,Nintendo DS,38,389,14782, Maranhão (MA) ,2023-03-26,,Sem Devolução
São Paulo,3905,Sistemas Sinérgicos Ltda,Henrique,Nintendo DS,34,389,13226, Rio de Janeiro (RJ) ,2021-03-31,,Sem Devolução
São Paulo,1280,Empreendimentos NovaGenius Ltda,João,PlayStation 1,23,199,4577, Rio de Janeiro (RJ) ,2021-10-06,2021-10-22,Com Devolução
Parana,9148,Corporação NexusGen,Paulo,PlayStation 2,36,499,17964, Amapá (AP) ,2024-10-05,2024-10-17,Com Devolução
Rio de Janeiro,9895,Soluções NovaTech S.A,Vanessa,Nintendo Wii,30,1699,50970, Bahia (BA) ,2020-05-16,,Sem Devolução
Rio de Janeiro,4179,Soluções Núcleo Quântico Ltda,Taize,Game Boy,16,79,1264, Santa Catarina (SC) ,2022-10-22,,Sem Devolução
Rio de Janeiro,8292,Empreendimentos NexusTech Ltda,Vanessa,PlayStation 4,24,1399,33576, Ceará (CE) ,2024-03-08,,Sem Devolução
Parana,6931,Corporação TechVantage,Paulo,PlayStation 4,8,1399,11192, Maranhão (MA) ,2021-05-07,,Sem Devolução
Parana,3743,InovarHub S.A,Paulo,Game Boy,3,79,237, Maranhão (MA) ,2020-05-04,,Sem Devolução
São Paulo,9656,VisionáriaTech S.A,Henrique,Game Boy,20,79,1580, Acre (AC) ,2021-11-17,,Sem Devolução
Parana,9555,Tecnologias Ondas Futuras Ltda,Taize,Game Boy,36,79,2844, Pará (PA) ,2020-09-07,2020-09-14,Com Devolução
São Paulo,3522,Inovação Esfera Quântica Ltda,Paulo,Nintendo DS,34,389,13226, Rio Grande do Norte (RN) ,2020-05-16,,Sem Devolução
São Paulo,6861,Corporação TechVantage,Henrique,Game Boy,12,79,948, Rondônia (RO) ,2021-09-04,,Sem Devolução
Parana,2628,Empreendimentos NovaGenius Ltda,Vanessa,Nintendo Wii,21,1699,35679, Pernambuco (PE) ,2024-01-01,,Sem Devolução
São Paulo,3350,Corporação NexusGen,Vanessa,Nintendo DS,34,389,13226, Alagoas (AL) ,2020-07-17,2020-07-25,Com Devolução
Rio de Janeiro,3578,Empreendimentos NexusTech Ltda,Maria,PlayStation 2,1,499,499, Santa Catarina (SC) ,2020-09-06,,Sem Devolução
Parana,7002,Corporação NexusGen,Vanessa,Nintendo Wii,23,1699,39077, Tocantins (TO) ,2023-07-12,2023-08-04,Com Devolução
Rio de Janeiro,8026,Indústrias ApexTech Ltda,Taize,PlayStation 1,35,199,6965, Rondônia (RO) ,2020-11-16,,Sem Devolução
São Paulo,7988,Corporação NexusGen,Henrique,Nintendo DS,28,389,10892, Pará (PA) ,2024-08-15,,Sem Devolução
São Paulo,6432,Inovação Esfera Quântica Ltda,Taize,PlayStation 1,18,199,3582, Rio de Janeiro (RJ) ,2024-03-23,,Sem Devolução
Parana,8713,VisionáriaTech S.A,Maria,PlayStation 1,33,199,6567, Mato Grosso do Sul (MS) ,2024-05-28,,Sem Devolução
Rio de Janeiro,2796,Corporação NexusGen,Henrique,Nintendo DS,38,389,14782, Rio de Janeiro (RJ) ,2022-06-26,,Sem Devolução
Rio de Janeiro,9871,Indústrias ApexTech Ltda,Taize,PlayStation 4,20,1399,27980, Amapá (AP) ,2022-07-01,,Sem Devolução
Parana,6602,Corporação NexusGen,Henrique,XBOX 360,34,1299,44166, Distrito Federal (DF) ,2022-12-25,,Sem Devolução
Parana,1510,Grupo Borda de Inovação Ltda,Taize,PlayStation 4,19,1399,26581, Distrito Federal (DF) ,2020-01-21,2020-01-22,Com Devolução
Parana,2637,Empresa Visionária de Inovações S.A,Maria,PlayStation 2,32,499,15968, Pará (PA) ,2020-01-10,2020-01-31,Com Devolução
Parana,8998,Inovação Esfera Quântica Ltda,Vanessa,Nintendo Wii,31,1699,52669, Bahia (BA) ,2023-04-20,,Sem Devolução
Rio de Janeiro,9277,Laboratórios InovateX Ltda,Taize,PlayStation 1,9,199,1791, Pernambuco (PE) ,2021-02-28,,Sem Devolução
Rio de Janeiro,1376,InovarHub S.A,Maria,XBOX ONE S,11,1499,16489, Santa Catarina (SC) ,2021-08-05,,Sem Devolução
São Paulo,8931,VisionáriaTech S.A,Taize,PlayStation 2,23,499,11477, Goiás (GO) ,2024-06-20,,Sem Devolução
Parana,3121,VisionáriaTech S.A,Paulo,PlayStation 4,1,1399,1399, Goiás (GO) ,2021-03-27,2021-04-14,Com Devolução
Rio de Janeiro,6640,Empresa Visionária de Inovações S.A,Paulo,XBOX 360,11,1299,14289, Espírito Santo (ES) ,2022-11-04,2022-11-29,Com Devolução
Rio de Janeiro,5120,Corporação TechNex,Vanessa,Nintendo Wii,22,1699,37378, Roraima (RR) ,2021-07-30,,Sem Devolução
Rio de Janeiro,8536,InovarHub S.A,Taize,Nintendo Wii,10,1699,16990, Rondônia (RO) ,2021-01-01,,Sem Devolução
Rio de Janeiro,7084,Laboratórios InovateX Ltda,Maria,Nintendo Wii,40,1699,67960, Amazonas (AM) ,2020-12-14,2020-12-17,Com Devolução
Parana,2955,VisionáriaTech S.A,Henrique,Game Boy,31,79,2449, Roraima (RR) ,2023-10-20,,Sem Devolução
São Paulo,6787,Grupo Borda de Inovação Ltda,Vanessa,PlayStation 1,19,199,3781, Amazonas (AM) ,2024-02-03,,Sem Devolução
Rio de Janeiro,8062,Indústrias ApexTech Ltda,João,Game Boy,37,79,2923, Mato Grosso do Sul (MS) ,2021-11-28,2021-12-24,Com Devolução
São Paulo,4375,Corporação TechNex,Paulo,PlayStation 2,37,499,18463, Tocantins (TO) ,2024-04-28,,Sem Devolução
Rio de Janeiro,7294,Corporação TechNex,Henrique,PlayStation 1,27,199,5373, Sergipe (SE) ,2022-01-29,,Sem Devolução
Parana,8767,Corporação NexusGen,Henrique,Game Boy,18,79,1422, Tocantins (TO) ,2023-06-20,,Sem Devolução
Rio de Janeiro,7815,Soluções NovaTech S.A,Vanessa,PlayStation 2,12,499,5988, Maranhão (MA) ,2023-12-10,,Sem Devolução
Rio de Janeiro,2047,Corporação NexusGen,João,XBOX ONE S,14,1499,20986, São Paulo (SP) ,2024-02-01,,Sem Devolução
São Paulo,2512,VisionáriaTech S.A,Vanessa,PlayStation 4,6,1399,8394, Mato Grosso do Sul (MS) ,2023-01-05,,Sem Devolução
Parana,1794,Corporação TechVantage,Maria,PlayStation 2,27,499,13473, Piauí (PI) ,2023-06-12,2023-06-15,Com Devolução
São Paulo,2906,Corporação TechNex,Henrique,XBOX 360,17,1299,22083, Espírito Santo (ES) ,2023-05-24,,Sem Devolução
Rio de Janeiro,9748,Indústrias ApexTech Ltda,Maria,PlayStation 4,34,1399,47566, Rio de Janeiro (RJ) ,2022-10-11,,Sem Devolução
Parana,6954,Laboratórios InovateX Ltda,João,PlayStation 4,14,1399,19586, Maranhão (MA) ,2022-04-25,2022-05-23,Com Devolução
Parana,6437,Empreendimentos NexusTech Ltda,Taize,Game Boy,32,79,2528, Bahia (BA) ,2021-05-06,,Sem Devolução
São Paulo,7260,Corporação NexusGen,Taize,XBOX ONE S,21,1499,31479, Distrito Federal (DF) ,2020-07-17,2020-08-15,Com Devolução
Rio de Janeiro,3858,Empreendimentos NovaGenius Ltda,Maria,PlayStation 2,20,499,9980, Amapá (AP) ,2022-03-02,2022-03-23,Com Devolução
Rio de Janeiro,8329,Corporação TechNex,Henrique,PlayStation 4,31,1399,43369, Rio de Janeiro (RJ) ,2024-02-24,2024-03-18,Com Devolução
Rio de Janeiro,1529,Inovação QuantumLeap Ltda,Vanessa,PlayStation 2,15,499,7485, Rio Grande do Norte (RN) ,2022-05-25,,Sem Devolução
Parana,2130,InovarHub S.A,Vanessa,PlayStation 1,22,199,4378, Distrito Federal (DF) ,2021-08-14,,Sem Devolução
Parana,8777,Corporação TechNex,Henrique,Nintendo DS,30,389,11670, Rio Grande do Norte (RN) ,2022-08-30,,Sem Devolução
São Paulo,5929,Empreendimentos NexusTech Ltda,Vanessa,Nintendo Wii,2,1699,3398, Rio de Janeiro (RJ) ,2024-09-12,,Sem Devolução
Rio de Janeiro,3937,Grupo Dinâmica Horizon Ltda,João,Nintendo Wii,20,1699,33980, Distrito Federal (DF) ,2024-02-24,,Sem Devolução
Rio de Janeiro,6646,Laboratórios InovateX Ltda,Vanessa,XBOX 360,21,1299,27279, Mato Grosso do Sul (MS) ,2021-06-09,,Sem Devolução
Rio de Janeiro,3977,Laboratórios InovateX Ltda,Paulo,PlayStation 4,12,1399,16788, Mato Grosso do Sul (MS) ,2023-08-29,,Sem Devolução
Rio de Janeiro,1677,Sistemas Sinérgicos Ltda,João,XBOX ONE S,21,1499,31479, Maranhão (MA) ,2024-03-03,,Sem Devolução
Rio de Janeiro,9739,Empresas Esfera de Sinergia Ltda,Henrique,XBOX 360,24,1299,31176, Rio Grande do Sul (RS) ,2023-08-02,2023-08-25,Com Devolução
São Paulo,8344,VisionáriaTech S.A,João,XBOX 360,40,1299,51960, Roraima (RR) ,2021-10-25,2021-11-16,Com Devolução
Rio de Janeiro,3009,Sistemas Sinérgicos Ltda,Paulo,PlayStation 2,35,499,17465, Bahia (BA) ,2021-08-28,,Sem Devolução
Rio de Janeiro,2948,Tecnologias Impulso Quântico Ltda,Maria,PlayStation 2,5,499,2495, Acre (AC) ,2020-05-06,2020-05-22,Com Devolução
Parana,6058,Inovação Esfera Quântica Ltda,Maria,PlayStation 1,20,199,3980, Mato Grosso do Sul (MS) ,2022-07-18,,Sem Devolução
Rio de Janeiro,4519,Empresas Esfera de Sinergia Ltda,João,PlayStation 4,25,1399,34975, Ceará (CE) ,2021-03-31,,Sem Devolução
Parana,4816,Corporação TechVantage,Maria,XBOX 360,21,1299,27279, São Paulo (SP) ,2024-04-28,2024-05-04,Com Devolução
São Paulo,3161,Sistemas Sinérgicos Ltda,Vanessa,XBOX 360,14,1299,18186, Roraima (RR) ,2021-09-28,,Sem Devolução
Rio de Janeiro,1564,InovarHub S.A,Maria,Nintendo Wii,27,1699,45873, Paraná (PR) ,2023-06-25,,Sem Devolução
Rio de Janeiro,4032,Empreendimentos NexusTech Ltda,Paulo,PlayStation 4,14,1399,19586, Mato Grosso do Sul (MS) ,2021-07-16,,Sem Devolução
Rio de Janeiro,8081,Laboratórios InovateX Ltda,Maria,PlayStation 4,6,1399,8394, Rio Grande do Sul (RS) ,2022-01-25,,Sem Devolução
São Paulo,2507,VisionáriaTech S.A,Vanessa,Game Boy,30,79,2370, Acre (AC) ,2023-03-15,,Sem Devolução
São Paulo,5060,Empresas Esfera de Sinergia Ltda,João,PlayStation 1,1,199,199, Santa Catarina (SC) ,2021-09-04,2021-09-24,Com Devolução
Parana,6152,Soluções NovaTech S.A,Henrique,Nintendo Wii,33,1699,56067, Rio de Janeiro (RJ) ,2021-07-26,,Sem Devolução
Rio de Janeiro,6437,Inovação Esfera Quântica Ltda,Maria,Nintendo DS,15,389,5835, Amapá (AP) ,2021-03-16,,Sem Devolução
Rio de Janeiro,3711,Empresas Esfera de Sinergia Ltda,Paulo,PlayStation 1,24,199,4776, Goiás (GO) ,2024-11-12,,Sem Devolução
Parana,4354,Sistemas Sinérgicos Ltda,Henrique,Nintendo Wii,20,1699,33980, Distrito Federal (DF) ,2024-05-04,,Sem Devolução
Parana,4978,Soluções NovaTech S.A,João,Game Boy,28,79,2212, Rio de Janeiro (RJ) ,2020-07-22,,Sem Devolução
São Paulo,4995,Empreendimentos NovaGenius Ltda,Taize,PlayStation 4,15,1399,20985, Pará (PA) ,2024-04-17,,Sem Devolução
São Paulo,1065,Corporação NexusGen,Paulo,Game Boy,16,79,1264, Alagoas (AL) ,2020-03-21,,Sem Devolução
São Paulo,6567,Empresa Visionária de Inovações S.A,Henrique,PlayStation 2,24,499,11976, Sergipe (SE) ,2023-05-06,2023-05-08,Com Devolução
Rio de Janeiro,8944,Indústrias ApexTech Ltda,Vanessa,PlayStation 1,6,199,1194, Distrito Federal (DF) ,2022-05-16,2022-06-10,Com Devolução
Parana,5113,Inovação QuantumLeap Ltda,Taize,PlayStation 4,14,1399,19586, Amazonas (AM) ,2022-09-20,2022-10-18,Com Devolução
São Paulo,4587,Empresa Visionária de Inovações S.A,Taize,Nintendo DS,39,389,15171, Maranhão (MA) ,2022-08-20,,Sem Devolução
São Paulo,4372,Corporação NexusGen,Paulo,PlayStation 1,33,199,6567, Pernambuco (PE) ,2023-07-21,,Sem Devolução
Rio de Janeiro,2870,VisionáriaTech S.A,Vanessa,Nintendo Wii,34,1699,57766, Acre (AC) ,2020-04-15,,Sem Devolução
Rio de Janeiro,6539,VisionáriaTech S.A,Paulo,PlayStation 1,26,199,5174, Pará (PA) ,2021-10-04,,Sem Devolução
Parana,4883,Grupo Dinâmica Horizon Ltda,João,PlayStation 1,36,199,7164, Mato Grosso do Sul (MS) ,2022-05-06,,Sem Devolução
Parana,7556,Empreendimentos NovaGenius Ltda,Maria,PlayStation 2,37,499,18463, Maranhão (MA) ,2023-11-01,2023-11-12,Com Devolução
Rio de Janeiro,8975,Inovação Esfera Quântica Ltda,Paulo,PlayStation 2,21,499,10479, Acre (AC) ,2020-04-17,,Sem Devolução
Parana,3036,Empreendimentos NexusTech Ltda,Maria,PlayStation 1,36,199,7164, Minas Gerais (MG) ,2023-03-03,,Sem Devolução
Parana,5065,Empresas Esfera de Sinergia Ltda,João,PlayStation 1,38,199,7562, Rio Grande do Sul (RS) ,2022-05-27,,Sem Devolução
Rio de Janeiro,2722,Empresa Visionária de Inovações S.A,João,PlayStation 1,23,199,4577, Alagoas (AL) ,2020-11-16,,Sem Devolução
Parana,2123,Empreendimentos NexusTech Ltda,Paulo,Game Boy,29,79,2291, Acre (AC) ,2022-03-07,,Sem Devolução
Parana,3101,Indústrias ApexTech Ltda,Maria,PlayStation 2,3,499,1497, Minas Gerais (MG) ,2021-05-16,2021-05-22,Com Devolução
São Paulo,5006,Grupo Borda de Inovação Ltda,Vanessa,Game Boy,10,79,790, Alagoas (AL) ,2020-09-27,,Sem Devolução
Rio de Janeiro,8397,Sistemas Sinérgicos Ltda,Paulo,XBOX ONE S,18,1499,26982, Minas Gerais (MG) ,2023-04-06,,Sem Devolução
Parana,9902,Corporação NexusGen,Henrique,XBOX ONE S,27,1499,40473, Pernambuco (PE) ,2023-12-22,2023-12-25,Com Devolução
São Paulo,4221,Sistemas Sinérgicos Ltda,Maria,Game Boy,3,79,237, Roraima (RR) ,2020-01-04,,Sem Devolução
São Paulo,9462,Grupo Borda de Inovação Ltda,João,PlayStation 4,40,1399,55960, Rio Grande do Norte (RN) ,2020-11-22,2020-12-07,Com Devolução
São Paulo,2743,VisionáriaTech S.A,Taize,XBOX ONE S,19,1499,28481, Paraná (PR) ,2022-12-14,,Sem Devolução
São Paulo,4156,VisionáriaTech S.A,Taize,PlayStation 1,6,199,1194, Ceará (CE) ,2024-06-14,,Sem Devolução
Parana,6609,Laboratórios InovateX Ltda,João,PlayStation 2,16,499,7984, Maranhão (MA) ,2021-07-13,2021-07-18,Com Devolução
Parana,3624,Empreendimentos NexusTech Ltda,Vanessa,Nintendo DS,14,389,5446, Piauí (PI) ,2024-11-27,,Sem Devolução
São Paulo,8949,Corporação TechVantage,João,XBOX ONE S,6,1499,8994, Santa Catarina (SC) ,2021-09-29,,Sem Devolução
São Paulo,8402,Corporação TechVantage,Paulo,PlayStation 1,5,199,995, Alagoas (AL) ,2021-02-16,2021-02-28,Com Devolução
Rio de Janeiro,5482,Laboratórios InovateX Ltda,Henrique,XBOX 360,38,1299,49362, Pará (PA) ,2024-09-02,,Sem Devolução
Parana,5735,Empreendimentos NovaGenius Ltda,Maria,Nintendo Wii,21,1699,35679, Espírito Santo (ES) ,2024-02-23,,Sem Devolução
Rio de Janeiro,1877,Soluções Núcleo Quântico Ltda,Taize,PlayStation 4,25,1399,34975, Santa Catarina (SC) ,2021-02-26,,Sem Devolução
São Paulo,2796,Corporação TechVantage,Vanessa,Nintendo DS,9,389,3501, Rondônia (RO) ,2020-10-29,2020-11-02,Com Devolução
Parana,2431,Inovação QuantumLeap Ltda,Vanessa,Nintendo Wii,18,1699,30582, Rio de Janeiro (RJ) ,2023-04-18,,Sem Devolução
Rio de Janeiro,7327,Inovação QuantumLeap Ltda,Paulo,PlayStation 2,24,499,11976, Rio de Janeiro (RJ) ,2020-09-17,,Sem Devolução
Parana,5270,Laboratórios InovateX Ltda,João,XBOX ONE S,17,1499,25483, Mato Grosso (MT) ,2024-02-27,,Sem Devolução
São Paulo,6560,Empreendimentos NovaGenius Ltda,Maria,Nintendo DS,26,389,10114, Pará (PA) ,2024-08-06,,Sem Devolução
Rio de Janeiro,9102,Corporação TechNex,Paulo,Nintendo Wii,6,1699,10194, Espírito Santo (ES) ,2023-07-11,,Sem Devolução
São Paulo,3222,InovarHub S.A,Taize,XBOX ONE S,38,1499,56962, Roraima (RR) ,2023-07-10,,Sem Devolução
Parana,9814,Sistemas Sinérgicos Ltda,Maria,XBOX ONE S,12,1499,17988, Acre (AC) ,2024-04-29,,Sem Devolução
Parana,5691,Inovação Esfera Quântica Ltda,Maria,Nintendo Wii,37,1699,62863, Pernambuco (PE) ,2021-01-11,,Sem Devolução
Parana,2153,Empreendimentos NovaGenius Ltda,Taize,PlayStation 1,20,199,3980, São Paulo (SP) ,2021-07-16,,Sem Devolução
Rio de Janeiro,2083,Empresa Visionária de Inovações S.A,João,Nintendo DS,16,389,6224, São Paulo (SP) ,2020-09-22,2020-10-16,Com Devolução
Parana,2012,Empresa Visionária de Inovações S.A,Maria,XBOX ONE S,38,1499,56962, Roraima (RR) ,2024-10-27,,Sem Devolução
Rio de Janeiro,1628,Laboratórios InovateX Ltda,Vanessa,Nintendo DS,17,389,6613, Amapá (AP) ,2022-04-17,2022-05-09,Com Devolução
São Paulo,9989,Soluções Núcleo Quântico Ltda,Paulo,Nintendo DS,12,389,4668, Ceará (CE) ,2022-04-09,,Sem Devolução
São Paulo,8405,InovarHub S.A,Vanessa,XBOX 360,39,1299,50661, Sergipe (SE) ,2021-07-02,,Sem Devolução
São Paulo,4554,Empresas Esfera de Sinergia Ltda,Paulo,Nintendo Wii,21,1699,35679, São Paulo (SP) ,2020-03-29,,Sem Devolução
Rio de Janeiro,8009,Tecnologias Impulso Quântico Ltda,Maria,Nintendo DS,14,389,5446, Rio de Janeiro (RJ) ,2023-08-09,,Sem Devolução
Rio de Janeiro,2402,InovarHub S.A,Taize,PlayStation 2,28,499,13972, Goiás (GO) ,2020-12-03,2020-12-17,Com Devolução
Rio de Janeiro,5384,Grupo Dinâmica Horizon Ltda,Paulo,Nintendo Wii,2,1699,3398, Rondônia (RO) ,2024-12-19,2025-01-06,Com Devolução
Parana,9994,Soluções NovaTech S.A,Paulo,PlayStation 2,14,499,6986, Distrito Federal (DF) ,2024-01-19,,Sem Devolução
São Paulo,4229,Soluções Núcleo Quântico Ltda,Maria,XBOX 360,29,1299,37671, Mato Grosso do Sul (MS) ,2022-11-23,,Sem Devolução
Rio de Janeiro,3520,Tecnologias Ondas Futuras Ltda,Vanessa,Nintendo DS,6,389,2334, Roraima (RR) ,2021-11-30,,Sem Devolução
São Paulo,6236,Grupo Borda de Inovação Ltda,João,PlayStation 1,13,199,2587, Maranhão (MA) ,2024-04-13,,Sem Devolução
Parana,6708,Corporação TechVantage,João,Nintendo Wii,19,1699,32281, Pernambuco (PE) ,2021-05-09,,Sem Devolução
Parana,5978,Soluções NovaTech S.A,Taize,XBOX ONE S,16,1499,23984, Piauí (PI) ,2023-04-27,2023-05-25,Com Devolução
Parana,5801,Soluções NovaTech S.A,Henrique,Nintendo Wii,14,1699,23786, Rio Grande do Sul (RS) ,2022-07-19,,Sem Devolução
Rio de Janeiro,8149,Laboratórios InovateX Ltda,João,PlayStation 1,3,199,597, Bahia (BA) ,2023-09-25,,Sem Devolução
Rio de Janeiro,6425,Empresas Esfera de Sinergia Ltda,Maria,PlayStation 1,11,199,2189, Espírito Santo (ES) ,2020-11-04,2020-11-23,Com Devolução
Rio de Janeiro,7302,Empreendimentos NovaGenius Ltda,Henrique,PlayStation 4,1,1399,1399, Amazonas (AM) ,2022-10-06,,Sem Devolução
Rio de Janeiro,8972,Grupo Dinâmica Horizon Ltda,Paulo,PlayStation 1,6,199,1194, Amazonas (AM) ,2020-12-22,,Sem Devolução
Rio de Janeiro,9059,Corporação TechVantage,João,Game Boy,34,79,2686, Paraná (PR) ,2021-11-29,2021-12-23,Com Devolução
São Paulo,2607,Soluções NovaTech S.A,Vanessa,Game Boy,2,79,158, Distrito Federal (DF) ,2024-05-19,,Sem Devolução
Rio de Janeiro,8994,VisionáriaTech S.A,Vanessa,XBOX ONE S,7,1499,10493, Piauí (PI) ,2020-08-27,,Sem Devolução
Rio de Janeiro,2039,Grupo Dinâmica Horizon Ltda,Taize,Game Boy,33,79,2607, Tocantins (TO) ,2024-01-12,,Sem Devolução
Parana,2120,InovarHub S.A,Paulo,Nintendo Wii,36,1699,61164, Goiás (GO) ,2022-07-15,,Sem Devolução
São Paulo,4465,Inovação QuantumLeap Ltda,Maria,PlayStation 2,25,499,12475, Mato Grosso (MT) ,2021-01-27,2021-01-27,Com Devolução
Parana,7938,Indústrias ApexTech Ltda,João,XBOX ONE S,13,1499,19487, Mato Grosso (MT) ,2021-12-29,,Sem Devolução
Parana,5661,Laboratórios InovateX Ltda,João,Nintendo Wii,21,1699,35679, Espírito Santo (ES) ,2024-08-24,,Sem Devolução
São Paulo,3981,Soluções Núcleo Quântico Ltda,Taize,PlayStation 4,9,1399,12591, Espírito Santo (ES) ,2020-04-06,,Sem Devolução
São Paulo,9403,Grupo Borda de Inovação Ltda,Vanessa,Game Boy,2,79,158, Santa Catarina (SC) ,2021-11-18,,Sem Devolução
